TF,Bigram TF,No. of Stop_words,Out of Context,"Arts, Culture, Entertainment, Sports",Conspiracy,Business and Industrial,"economy, business and finance",Religion and belief,"Law, Government and Politics",Education,Technology and Computing,Science,Sixltr,conj,interrog,number,negemo,social,certain,percept,focuspast,focuspresent,time,PERSON,TIME,ORG,GPE
54,17,0.3781163434903047,914,0.4508,0.0,0.0,0.0,0.0,0.5712,0.0,0.4508,0.0,19.49,6.39,0.96,1.76,0.32,16.61,0.48,3.67,6.55,5.59,5.75,,,,
18,5,0.4058679706601467,494,0.4508,0.0,0.0,0.5202,0.0,0.0,0.0,0.4508,0.0,19.48,9.3,2.03,2.03,0.58,12.79,0.29,3.49,4.36,9.01,6.98,,,,
33,10,0.3142857142857143,2080,0.0,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,25.15,3.8,0.29,2.92,2.92,12.57,1.75,1.75,3.22,5.56,6.14,,,,
70,36,0.37733333333333335,6479,0.0,0.0,0.0,0.8195,0.0,0.0,0.0,0.0,0.0,18.13,5.38,1.7,2.27,0.14,14.02,0.85,3.82,6.23,3.54,5.95,,,,
102,36,0.10759027266028004,23723,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,27.39,1.38,0.0,2.53,0.81,4.49,0.35,2.07,0.81,1.38,2.19,,,,
37,8,0.3974082073434125,932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09,5.59,1.33,1.6,0.53,16.49,1.33,3.99,10.64,6.65,5.05,,,,
73,8,0.378021978021978,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.74,6.27,0.86,2.95,3.93,13.51,0.86,2.83,7.0,2.83,6.51,,,,
66,71,0.3959731543624161,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.44,5.47,1.56,1.56,0.0,12.5,0.0,4.69,3.91,10.94,5.47,,,,
64,25,0.3765182186234818,1630,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.0,20.18,5.81,0.76,1.83,0.61,10.86,0.61,4.13,5.2,5.96,9.63,,,,
62,8,0.3430592396109637,1436,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,22.02,5.37,1.42,1.42,1.2,10.08,1.42,2.08,1.1,7.78,3.4,,,,
19,3,0.3684210526315789,404,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,20.27,4.39,0.0,1.01,0.68,16.55,1.01,1.69,5.41,6.08,7.43,,,,
10,2,0.3395061728395062,227,0.6909666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6909666666666666,0.0,21.09,4.76,1.36,4.08,0.0,3.4,0.68,0.0,1.36,4.08,10.2,,,,
8,5,0.4047619047619048,57,0.9687,0.0,0.0,0.5087,0.0,0.0,0.0,0.8153666666666667,0.4508,28.0,6.67,0.0,0.0,0.0,9.33,6.67,0.0,0.0,8.0,0.0,,,,
33,9,0.4187380497131931,621,0.0,0.0,0.0,0.0,0.0,0.5628,0.0,0.0,0.0,19.29,5.0,0.95,1.19,5.71,15.24,1.19,1.43,2.86,12.86,1.9,,,,
24,17,0.3588039867109635,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.05,2.73,0.39,0.78,0.78,15.62,2.34,3.91,4.3,10.55,4.69,,,,
51,21,0.4376996805111821,886,0.0,0.0,0.0,0.0,0.0,0.5687166666666668,0.0,0.0,0.0,25.21,7.2,1.72,1.54,1.03,8.4,0.69,0.51,1.89,8.75,3.26,,,,
472,540,0.2768939719666351,16824,0.6469833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.6469833333333334,0.0,22.43,5.11,0.48,11.14,0.31,4.08,0.51,5.74,3.38,2.31,5.86,,,,
13,2,0.3857142857142857,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165,0.0,16.33,4.38,1.59,0.8,0.4,17.13,0.8,2.39,6.77,7.97,7.17,,,,
23,8,0.388739946380697,336,0.7056,0.0,0.0,0.0,0.0,0.542,0.0,0.7056,0.0,21.09,4.79,1.6,0.96,1.92,9.58,2.88,4.79,3.19,9.58,6.71,,,,
38,8,0.4055299539170507,469,0.638,0.0,0.0,0.0,0.0,0.0,0.0,0.638,0.0,19.62,5.38,1.88,2.42,0.27,13.71,1.61,6.45,4.03,8.33,5.38,,,,
38,4,0.392156862745098,492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,5.93,0.54,1.89,1.89,13.75,1.89,2.43,1.89,14.82,5.66,,,,
49,15,0.3803680981595092,1708,0.0,0.0,0.0,0.0,0.4508,0.0,0.0,0.0,0.0,24.24,5.68,1.31,3.49,0.87,14.85,0.87,1.97,4.59,7.86,5.46,,,,
28,7,0.4509803921568628,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3109,0.0,17.08,6.34,1.1,3.58,1.65,13.77,1.38,1.38,3.58,10.47,8.82,,,,
32,233,0.4031936127744511,552,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,22.43,6.64,2.06,2.29,1.37,12.36,0.69,3.2,3.89,8.01,6.86,,,,
9,72,0.4545454545454545,125,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,19.87,3.85,0.0,1.28,0.0,16.03,0.0,2.56,11.54,8.97,4.49,,,,
29,3,0.37333333333333335,945,0.50835,0.0,0.0,0.0,0.0,0.0,0.0,0.50835,0.0,17.01,5.37,1.19,1.79,2.39,14.63,0.6,2.39,4.18,10.75,6.57,,,,
71,16,0.4492627927146574,1059,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,17.05,7.43,1.46,2.41,1.15,15.17,1.57,2.3,5.44,10.67,5.13,,,,
6,44,0.3838383838383838,35,0.4962,0.0,0.0,0.0,0.0,0.0,0.0,0.4962,0.0,9.64,7.23,2.41,1.2,0.0,7.23,2.41,0.0,1.2,15.66,4.82,,,,
15,9,0.3790322580645161,466,0.0,0.0,0.0,0.5022,0.0,0.4626,0.0,0.0,0.0,19.83,6.47,2.59,0.86,1.29,12.5,0.43,5.6,2.59,11.21,2.16,,,,
35,208,0.42857142857142855,487,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,17.77,5.69,1.18,2.37,2.37,15.17,0.95,2.84,6.16,9.95,7.82,,,,
58,14,0.3828947368421053,2105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.36,5.45,0.91,0.76,3.18,11.21,1.82,3.94,4.39,7.88,6.97,,,,
44,13,0.33771929824561403,1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.61,3.23,1.24,4.23,1.0,10.2,0.25,1.49,4.23,2.99,4.23,,,,
9,8,0.4444444444444444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,5.88,,,,
20,3,0.3885542168674699,343,0.5749,0.0,0.0,0.0,0.0,0.0,0.0,0.5749,0.0,19.23,5.94,2.1,1.05,2.45,9.44,2.45,4.2,7.34,9.79,8.39,,,,
17,3,0.481578947368421,387,0.4508,0.0,0.0,0.6167,0.0,0.0,0.0,0.4508,0.0,13.86,5.9,0.88,2.65,0.59,13.57,2.06,4.42,5.01,10.91,6.49,,,,
31,9,0.34098360655737703,493,0.7254,0.0,0.0,0.4913,0.0,0.0,0.0,0.7254,0.0,25.37,4.04,0.74,4.04,0.37,12.5,1.1,5.88,6.62,4.04,9.19,,,,
124,135,0.3552123552123552,1279,0.4565,0.0,0.0,0.0,0.0,0.0,0.0,0.4565,0.0,18.5,6.17,0.0,2.64,0.44,10.57,0.0,3.52,3.96,8.37,6.61,,,,
