,TF,Bigram TF,No. of Stop_words,Out of Context,"Arts, Culture, Entertainment, Sports",Conspiracy,Business and Industrial,"economy, business and finance",Religion and belief,"Law, Government and Politics",Education,Technology and Computing,Science,Sixltr,conj,interrog,number,negemo,social,certain,percept,focuspast,focuspresent,time,ORG,PERSON,GPE
0,8.0,2,0.476923076923077,442.0,0.0,0.0,0.0,0.0,0.0,0.63565,0.0,0.0,0.0,19.01,4.13,1.65,0.83,0.0,17.36,1.65,5.79,4.13,9.09,4.13,1.0,3.0,1.0
1,8.0,2,0.476923076923077,442.0,0.0,0.0,0.0,0.0,0.0,0.63565,0.0,0.0,0.0,19.01,4.13,1.65,0.83,0.0,17.36,1.65,5.79,4.13,9.09,4.13,1.0,3.0,1.0
2,8.0,2,0.476923076923077,442.0,0.0,0.0,0.0,0.0,0.0,0.63565,0.0,0.0,0.0,19.01,4.13,1.65,0.83,0.0,17.36,1.65,5.79,4.13,9.09,4.13,1.0,3.0,1.0
3,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
4,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
5,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
6,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
7,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
8,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
9,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
10,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
11,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
12,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
13,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
14,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
15,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
16,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
17,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
18,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
19,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
20,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
21,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
22,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
23,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
24,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
25,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
26,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
27,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
28,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
29,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
30,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
31,2.0,0,0.3157894736842105,136.0,0.21036,0.22554000000000002,0.0,0.0,0.107,0.11491595238095237,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
