,TF,Bigram TF,No. of Stop_words,Out of Context,"Arts, Culture, Entertainment, Sports",Conspiracy,Business and Industrial,"economy, business and finance",Religion and belief,"Law, Government and Politics",Education,Technology and Computing,Science,Sixltr,conj,interrog,number,negemo,social,certain,percept,focuspast,focuspresent,time,ORG,PERSON,GPE
0,8.0,2,0.476923076923077,442.0,0.0,0.0,0.0,0.0,0.0,0.63565,0.0,0.0,0.0,19.01,4.13,1.65,0.83,0.0,17.36,1.65,5.79,4.13,9.09,4.13,1.0,3.0,1.0
1,12.0,7,0.4051724137931034,518.0,0.0,0.0,0.0,0.5584,0.0,0.0,0.0,0.0,0.0,13.79,7.76,0.0,4.31,0.0,9.48,0.86,3.45,3.45,13.79,7.76,1.0,3.0,2.0
2,7.0,0,0.4,387.0,0.6385,0.0,0.0,0.5544,0.0,0.0,0.0,0.6317375000000001,0.4508,18.18,5.45,0.91,5.45,0.0,1.82,1.82,3.64,5.45,4.55,6.36,1.0,2.0,1.0
3,2.0,0,0.3157894736842105,136.0,0.21036,0.22554,0.0,0.0,0.107,0.11491595238095235,0.0,0.17800708333333334,0.1065,26.79,1.79,0.0,7.14,1.79,8.93,0.0,1.79,1.79,3.57,3.57,1.0,1.0,0.0
4,1.0,0,0.3818181818181817,126.0,0.45299999999999996,0.0,0.0,0.0,0.0,0.4883333333333333,0.0,0.4519,0.0,20.41,8.16,0.0,0.0,6.12,12.24,2.04,4.08,2.04,8.16,2.04,2.0,2.0,0.0
5,1.0,0,0.40384615384615385,111.0,0.5258,0.0,0.0,0.0,0.5428999999999999,0.5071,0.0,0.5258,0.0,15.56,2.22,4.44,2.22,0.0,6.67,2.22,4.44,8.89,4.44,0.0,3.0,0.0,0.0
6,0.0,0,0.35714285714285715,6.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,16.67,16.67,0.0,0.0,0.0,8.33,16.67,0.0,8.33,0.0,8.33,0.0,1.0,0.0
7,0.0,0,0.4642857142857143,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,8.0,4.0,1.0,0.0,0.0
8,0.0,0,0.3157894736842105,22.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,11.76,5.88,0.0,11.76,5.88,5.88,0.0,0.0,5.88,0.0,11.76,1.0,1.0,0.0
9,5.0,1,0.4881889763779528,321.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.4508,16.82,4.67,0.93,0.0,0.0,15.89,1.87,0.93,6.54,10.28,5.61,1.0,1.0,0.0
10,2.0,0,0.3692307692307693,121.0,0.51345,0.0,0.0,0.0,0.0,0.0,0.0,0.544775,0.0,21.82,3.64,0.0,0.0,0.0,18.18,0.0,3.64,9.09,1.82,3.64,2.0,1.0,0.0
11,2.0,0,0.4578313253012048,221.0,0.0,0.0,0.0,0.0,0.6692,0.4402,0.0,0.0,0.0,21.92,8.22,1.37,0.0,0.0,9.59,1.37,1.37,6.85,4.11,6.85,3.0,1.0,0.0
12,2.0,0,0.4680851063829787,54.0,0.0,0.0,0.0,0.5435,0.0,0.0,0.0,0.5071,0.4508,23.26,4.65,0.0,0.0,0.0,4.65,0.0,2.33,6.98,4.65,0.0,2.0,0.0,0.0
13,0.0,0,0.2692307692307692,202.0,0.0,0.0,0.0,0.0,0.0,0.4402,0.0,0.0,0.0,27.91,4.65,0.0,4.65,0.0,4.65,0.0,0.0,6.98,0.0,6.98,2.0,2.0,1.0
14,0.0,0,0.40425531914893614,74.0,0.0,0.0,0.5186666666666666,0.5017,0.0,0.0,0.0,0.0,0.4508,24.39,4.88,0.0,0.0,2.44,7.32,0.0,4.88,7.32,2.44,7.32,1.0,0.0,0.0
15,6.0,1,0.39436619718309857,189.0,0.0,0.0,0.0,0.5095000000000001,0.0,0.0,0.0,0.5095000000000001,0.4508,17.19,6.25,1.56,1.56,0.0,12.5,0.0,6.25,10.94,6.25,4.69,1.0,0.0,0.0
16,0.0,0,0.29411764705882354,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,6.25,0.0,6.25,0.0,6.25,12.5,6.25,6.25,1.0,2.0,0.0
17,0.0,0,0.35,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,12.5,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0
18,0.0,0,0.4,18.0,0.0,0.0,0.0,0.4646,0.4759,0.0,0.0,0.0,0.0,13.04,0.0,0.0,4.35,0.0,4.35,0.0,4.35,8.7,4.35,8.7,1.0,0.0,0.0
19,2.0,0,0.4444444444444444,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,2.86,0.0,11.43,0.0,11.43,0.0,0.0,5.71,2.86,5.71,1.0,1.0,0.0
20,0.0,0,0.3703703703703704,35.0,0.4508,0.0,0.0,0.5499499999999999,0.0,0.0,0.0,0.5169,0.4508,28.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,8.0,8.0,1.0,0.0,0.0
21,0.0,0,0.32142857142857145,38.0,0.4508,0.0,0.0,0.0,0.0,0.0,0.0,0.4508,0.0,22.22,3.7,0.0,3.7,0.0,3.7,0.0,3.7,7.41,0.0,7.41,2.0,0.0,0.0
22,0.0,0,0.4,2.0,0.14970999999999998,0.0,0.0,0.0,0.10466,0.0,0.0,0.150925,0.0,33.33,0.0,0.0,0.0,0.0,11.11,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0,0.29411764705882354,4.0,0.08532000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.09011,0.0,38.46,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,1.0,0.0,0.0
